K,Sample_Name,State,state_abbr,index,population_label,Longitude,Latitude,cluster,ancestry
2,Quercus_257,Arkansas,AR,02,02-Hempstead (AR),-93.65,33.77,cluster_1,0.99999
2,Quercus_257,Arkansas,AR,02,02-Hempstead (AR),-93.65,33.77,cluster_2,1e-5
2,Quercus_258,Arkansas,AR,02,02-Hempstead (AR),-93.65,33.77,cluster_1,0.99999
2,Quercus_258,Arkansas,AR,02,02-Hempstead (AR),-93.65,33.77,cluster_2,1e-5
2,Quercus_259,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.12,33.69,cluster_1,0.005285
2,Quercus_259,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.12,33.69,cluster_2,0.994715
2,Quercus_260,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.17,33.68,cluster_1,1e-5
2,Quercus_260,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.17,33.68,cluster_2,0.99999
2,Quercus_261,Louisiana,LA,01,01-Caddo (LA),-94.02,32.98,cluster_1,0.222751
2,Quercus_261,Louisiana,LA,01,01-Caddo (LA),-94.02,32.98,cluster_2,0.777249
2,Quercus_262,Louisiana,LA,05,05-Union (AR/LA),-92.37,32.89,cluster_1,0.079775
2,Quercus_262,Louisiana,LA,05,05-Union (AR/LA),-92.37,32.89,cluster_2,0.920225
2,Quercus_263,Arkansas,AR,02,02-Hempstead (AR),-93.86,33.74,cluster_1,0.388527
2,Quercus_263,Arkansas,AR,02,02-Hempstead (AR),-93.86,33.74,cluster_2,0.611473
2,Quercus_264,Arkansas,AR,02,02-Hempstead (AR),-93.65,33.77,cluster_1,0.9175
