"sample","called_genotypes","missing_genotypes","missing_rate","heterozygote_genotypes","heterozygote_rate","mean_dp","median_dp","mean_gq"
"Quercus_390",433,9,0.0203619909502262,30,0.0678733031674208,1761.32805429864,1692,96.9253393665158
"Quercus_391",439,3,0.00678733031674208,53,0.119909502262443,1086.10180995475,1108,97.8914027149321
"Quercus_399",441,1,0.00226244343891403,53,0.119909502262443,1356.49321266968,1354.5,98.841628959276
"Quercus_401",440,2,0.00452488687782805,2,0.00452488687782805,2091.59954751131,2070,98.4547511312217
"Quercus_402",442,0,0,62,0.14027149321267,900.830316742081,823,99
"Quercus_404",440,2,0.00452488687782805,56,0.126696832579186,1194.64479638009,1155,98.5859728506787
"Quercus_405",442,0,0,60,0.135746606334842,1138.99095022624,1117,99
"Quercus_406",441,1,0.00226244343891403,4,0.00904977375565611,1457.14027149321,1607,98.6877828054299
"Quercus_407",441,1,0.00226244343891403,57,0.1289592760181,1210.21040723982,1107,98.7760180995475
"Quercus_408",441,1,0.00226244343891403,63,0.142533936651584,1029.17194570136,928,98.7760180995475
"Quercus_412",440,2,0.00452488687782805,40,0.0904977375565611,1854.27601809955,1884,98.4004524886878
"Quercus_413",427,15,0.0339366515837104,50,0.113122171945701,793.552036199095,775,95.6402714932127
